SR Number,Status,Sub Status
1-364285768,Accepted,In Progress
1-364285768,Accepted,In Progress
1-364285768,Queued,Awaiting Assignment
1-364285768,Accepted,In Progress
1-364285768,Queued,Awaiting Assignment
1-364285768,Accepted,In Progress
1-364285768,Completed,Resolved
1-364285768,Queued,Awaiting Assignment
1-364285768,Accepted,In Progress
1-364285768,Queued,Awaiting Assignment
1-364285768,Accepted,In Progress
1-364285768,Accepted,Assigned
1-364285768,Accepted,In Progress
1-364285768,Accepted,Assigned
1-364285768,Accepted,In Progress
1-364285768,Completed,Resolved
1-364285768,Completed,Closed
1-467153946,Accepted,In Progress
1-467153946,Accepted,In Progress
1-467153946,Queued,Awaiting Assignment
1-467153946,Accepted,In Progress
1-467153946,Accepted,Wait - User
1-467153946,Queued,Awaiting Assignment
1-467153946,Accepted,In Progress
1-467153946,Accepted,Wait - Implementation
1-467153946,Accepted,In Progress
1-467153946,Accepted,Wait - Implementation
1-467153946,Accepted,In Progress
1-467153946,Accepted,Assigned
1-467153946,Accepted,In Progress
1-467153946,Accepted,Wait - User
1-467153946,Accepted,Wait
1-467153946,Accepted,Assigned
1-467153946,Accepted,In Progress
1-467153946,Accepted,Wait
1-467153946,Accepted,In Progress
1-467153946,Queued,Awaiting Assignment
1-467153946,Accepted,In Progress
1-467153946,Accepted,Assigned
1-467153946,Accepted,In Progress
1-467153946,Accepted,Wait - User
1-467153946,Accepted,In Progress
1-467153946,Accepted,Wait
1-467153946,Accepted,In Progress
1-467153946,Accepted,Wait
1-467153946,Queued,Awaiting Assignment
1-467153946,Accepted,In Progress
1-467153946,Accepted,In Progress
1-467153946,Accepted,Assigned
1-467153946,Accepted,In Progress
1-467153946,Accepted,Wait - Implementation
1-467153946,Queued,Awaiting Assignment
1-467153946,Accepted,In Progress
1-467153946,Queued,Awaiting Assignment
1-467153946,Accepted,In Progress
1-467153946,Completed,Resolved
1-467153946,Completed,Closed
1-503573772,Accepted,In Progress
1-503573772,Accepted,In Progress
1-503573772,Queued,Awaiting Assignment
1-503573772,Accepted,In Progress
1-503573772,Queued,Awaiting Assignment
1-503573772,Accepted,In Progress
